#separator:tab
#html:false
to be fed up	satt sein
Glockenspiel	chime
chime	Glockenspiel
unheimlich	eerily
eerily	unheimlich
Ermordung	assassination
assassination	Ermordung
Attentäter	assassin
assassin	Attentäter
Badehose	swimming trunks
swimming trunks	Badehose
nuscheln	to mumble
to mumble	nuscheln
Offenlegung	disclosure
disclosure	Offenlegung
wichtigste Besorgnis	overriding concern
overriding concern	wichtigste Besorgnis
wichtige Rolle	prominent role
prominent role	wichtige Rolle
folgenschwere Entscheidung	momentous decision
momentous decision	folgenschwere Entscheidung
entscheidener Faktor	decisive factor
decisive factor	entscheidener Faktor
von größter Bedeutung	paramount importance
paramount importance	von größter Bedeutung
Leitthema / Leitfaden	leading issue
leading issue	Leitthema / Leitfaden
quälend	tomentous
tomentous	quälend
bösartig	vicious
vicious	bösartig
die Zecken	ticks
ticks	die Zecken
Eigenschaften	traits
traits	Eigenschaften
Alleskönner	Jack of all traits
Jack of all traits	Alleskönner
jmd der gerne das Komando angibt	bossyboots
bossyboots	jmd der gerne das Komando angibt
Geizkragen	cheapskate
cheapskate	Geizkragen
Partymuffel	partypooper
partypooper	Partymuffel
jmd., der die Stimmung runterzieht	wetblanket
wetblanket	jmd., der die Stimmung runterzieht
Nachlass / Erbe	inheritance
inheritance	Nachlass / Erbe
Naht	seam
seam	Naht
eigenartig	peculier
peculier	eigenartig
überwälltigend	overpowering
overpowering	überwälltigend
Perücke	wig
wig	Perücke
schnuppern	to catch a whiff
to catch a whiff	schnuppern
besänftigen/beruhigen	pacifying
pacifying	besänftigen/beruhigen
herrlich	glorious
glorious	herrlich
bezaubernd	adorable
adorable	bezaubernd
atemberaubend	stunning
stunning	atemberaubend
prächtig	splendid
splendid	prächtig
zauberhaft	enchanting
enchanting	zauberhaft
Treue	fidelity
fidelity	Treue
treu sein	to be faithful
to be faithful	treu sein
schwer	severe
severe	schwer
mach kein großes Spile /Lärm	don't make a foss
don't make a foss	mach kein großes Spile /Lärm
besorgt sein	being beside of oneself
being beside of oneself	besorgt sein
einlösen	to redeem
to redeem	einlösen
verpflichtend	compulory
compulory	verpflichtend
greifbar	tangible
tangible	greifbar
Nähe	vicinity
vicinity	Nähe
unverzichtbar	indispensable
indispensable	unverzichtbar
klar / rein	lucid
lucid	klar / rein
herrlich / schön	delightful
delightful	herrlich / schön
Zuflucht	sactuary
sactuary	Zuflucht
verzinkt	galvanized
galvanized	verzinkt
das Reich	realm
realm	das Reich
kommerzialisiert	commoditized
commoditized	kommerzialisiert
Erbstück	heirloom
heirloom	Erbstück
vermitteln	to convey
to convey	vermitteln
erliegen	to succumb
to succumb	erliegen
unerlaubt	illicit
illicit	unerlaubt
vorläufige	preliminary
preliminary	vorläufige
schreien	to yell
to yell	schreien
murmeln	to mutter
to mutter	murmeln
schimpfen	to rant
to rant	schimpfen
abgelegen	secluded
secluded	abgelegen
riesig (offen)	vast
vast	riesig (offen)
weitläufig	sprawling
sprawling	weitläufig
baufällig	ramshackle
ramshackle	baufällig
Hütten	shacks
shacks	Hütten
Vernunft	sanity
sanity	Vernunft
Gesundheitsüberprüfung	sanity checks
sanity checks	Gesundheitsüberprüfung
Oberbegriff	generic term
generic term	Oberbegriff
formbar	malleable
malleable	formbar
Einnahmen	revenue
revenue	Einnahmen
einfühlsam	perceptiv
perceptiv	einfühlsam
bemüht	ambitious
ambitious	bemüht
gewisshaft	conscientious
conscientious	gewisshaft
hartnäckig	obstinate / stubborn
obstinate / stubborn	hartnäckig
neurotisch	neurotic
neurotic	neurotisch
voreingenommen	prejudiced
prejudiced	voreingenommen
teilnahmslos	apathatic
apathatic	teilnahmslos
grausam	cruel
cruel	grausam
neugirig	inquisitive
inquisitive	neugirig
die Tücke	peril
peril	die Tücke
Das Auftreten 	demeanor
demeanor	Das Auftreten 
Nachbesprechung	debrief
debrief	Nachbesprechung
gefährlich	perilously
perilously	gefährlich
jammern	whining
whining	jammern
schief	skewed
skewed	schief
ein Gedicht aufsagen	to recite a poem
to recite a poem	ein Gedicht aufsagen
anglotzen	eyeballing
eyeballing	anglotzen
regieren	to rule
to rule	regieren
Förderband	conveyor belt
conveyor belt	Förderband
jmd anflehen	to beg someone
to beg someone	jmd anflehen
hängenbleiben	snagging
snagging	hängenbleiben
knurren	to snarl
to snarl	knurren
vorsichtig	gingerly
gingerly	vorsichtig
vorbestimmt	preordained
preordained	vorbestimmt
Zorn	fury
fury	Zorn
ausführlich	verbose
verbose	ausführlich
inhaftiert	detained
detained	inhaftiert
Vokal	vowel
vowel	Vokal
Verschriebung	prescription
prescription	Verschriebung
Rechtsstreit	litigation
litigation	Rechtsstreit
Voreinstellung	preset
preset	Voreinstellung
Fischhändler	fishmonger
fishmonger	Fischhändler
Metzger	butcher
butcher	Metzger
Schreibwarenladen	stationary store
stationary store	Schreibwarenladen
fade (fader Geschmack)	Bland
Bland	fade (fader Geschmack)
stumpf	blant
blant	stumpf
Halsschmerzen	soar throat
soar throat	Halsschmerzen
lästig	bothersome
bothersome	lästig
kraftvoll	vigorously
vigorously	kraftvoll
Zünder	igniter
igniter	Zünder
suchen	to seek
to seek	suchen
gehorsam	obedience
obedience	gehorsam
Treibsand	quicksand
quicksand	Treibsand
wütend	furious
furious	wütend
Gefahr	peril
peril	Gefahr
unterernähert	malnourished
malnourished	unterernähert
übertreffen	surpassing
surpassing	übertreffen
eingebildet	conceited
conceited	eingebildet
qualvoll	excruciating
excruciating	qualvoll
berauschend	exhilarating
exhilarating	berauschend
Angst haben	anxious about
anxious about	Angst haben
häckeln	to crocket
to crocket	häckeln
kribbeln	to prickle
to prickle	kribbeln
pochen	to throb
to throb	pochen
Kündigung	Termination
Termination	Kündigung
to depict	darstellen
darstellen	to depict
Nahrungssuche	foraging
foraging	Nahrungssuche
Haftung	liability
liability	Haftung
allgegenwärtig	ubiquitous
ubiquitous	allgegenwärtig
Kummer	sorrow
sorrow	Kummer
Schmerztabletten	painkillers
painkillers	Schmerztabletten
lehmig	loamy
loamy	lehmig
Mangel	alack
alack	Mangel
empörend	outrageous
outrageous	empörend
Kirchkern	cherry stone
cherry stone	Kirchkern
Ordnungsamt	regulatory office
regulatory office	Ordnungsamt
gutartig	benign
benign	gutartig
bösartig 2	malicious
malicious	bösartig 2
leicht/einfach	readily
readily	leicht/einfach
Knappheit	scarcity
scarcity	Knappheit
Heiligkeit	sacredness
sacredness	Heiligkeit
zufällig	serendipitous
serendipitous	zufällig
Anstand	courtesy
courtesy	Anstand
der Kern von / die Kernaussage ...	the crux of
the crux of	der Kern von / die Kernaussage ...
streuen	to stray
to stray	streuen
Verzweigung	ramification
ramification	Verzweigung
zerschlagen	shattered
shattered	zerschlagen
Kopfhaut	scalp
scalp	Kopfhaut
Zulassung	admission
admission	Zulassung
zulässig	admissible
admissible	zulässig
ähnelt	resembles
resembles	ähnelt
Ansporn	incentive
incentive	Ansporn
schwerfällig	cumbersome / lumbersome
cumbersome / lumbersome	schwerfällig
nebeneinander	juxtaposition
juxtaposition	nebeneinander
Die Chancen standen auf unserer Seite	the odds were on us
the odds were on us	Die Chancen standen auf unserer Seite
ganzheitlich	holistic
holistic	ganzheitlich
fördern	to foster
to foster	fördern
Behinderung / Hinderniss	impediment
impediment	Behinderung / Hinderniss
einflößen	instilling
instilling	einflößen
zusammenhängend	cohesive
cohesive	zusammenhängend
flink	nimble
nimble	flink
Benehmen	conduct
conduct	Benehmen
Igel	hedgehog
hedgehog	Igel
veraltet	obsolete
obsolete	veraltet
Säule	pillar
pillar	Säule
are deemed	gelten als
gelten als	are deemed
normale Abnutzung	normal wear and tear
normal wear and tear	normale Abnutzung
bekloppt	dorky
dorky	bekloppt
Molke	whey
whey	Molke
genügen	to suffice
to suffice	genügen
etwas ausschlagen	to struck out
to struck out	etwas ausschlagen
Angeblich	alleged
alleged	Angeblich
Sparsamkeit	parsimony
parsimony	Sparsamkeit
übereinstimmen	coincide
coincide	übereinstimmen
Der Gang (Flur, Reihe)	aisle
aisle	Der Gang (Flur, Reihe)
vorstehen	protrude
protrude	vorstehen
unbesetzt	vacant
vacant	unbesetzt
Erhebung	elicitation
elicitation	Erhebung
täuschen	deceive
deceive	täuschen
aufdringlich	intrusive
intrusive	aufdringlich
sich etw. entziehen	to elude sth
to elude sth	sich etw. entziehen
entgangen	eluded
eluded	entgangen
Einhaltung	compliance
compliance	Einhaltung
Mut / Courage	courage
courage	Mut / Courage
Wirksamkeit	efficacy
efficacy	Wirksamkeit
verlockend	enticing
enticing	verlockend
in die Irre	to astray
to astray	in die Irre
Vorurteil	prejudice
prejudice	Vorurteil
ändern	to alter
to alter	ändern
lodern	to blaze
to blaze	lodern
gefährden	jeopartise
jeopartise	gefährden
Rechtsanältin	attorney
attorney	Rechtsanältin
fest angestellt	tenured
tenured	fest angestellt
to spare	übrig haben
übrig haben	to spare
obsolete	veraltet
veraltet	obsolete
Granatapfel	pomegranate
pomegranate	Granatapfel
caveat	Vorbehalt
Vorbehalt	caveat
Mixer	Blender
Blender	Mixer
Bagger	exuvator
exuvator	Bagger
Aufschub	deferral
deferral	Aufschub
aufgeschoben	deferred
deferred	aufgeschoben
Brunnen	fountain
fountain	Brunnen
to advocate with.	Etwas befürworten/ sich für etwas einsetzen 
Etwas befürworten/ sich für etwas einsetzen 	to advocate with.
Leitungen	conduits
conduits	Leitungen
holistic	ganzheitlich
ganzheitlich	holistic
to foster	fördern
fördern	to foster
impediment	Behinderung
Behinderung	impediment
instilling	einflößen
einflößen	instilling
cohesive	zusammenhängend
zusammenhängend	cohesive
nimble	flink
flink	nimble
conduct	das Benehmen
das Benehmen	conduct
resignation letter	Rücktrittsschreiben
Rücktrittsschreiben	resignation letter
hedgehog	Igel
Igel	hedgehog
pillar	Säule
Säule	pillar
normal wear and tear	normale Abnutzung
normale Abnutzung	normal wear and tear
dorky	bekloppt
bekloppt	dorky
maternity leave	Mutterschaftsurlaub
Mutterschaftsurlaub	maternity leave
whey	Molke
Molke	whey
lingering	verweilen
verweilen	lingering
flattering	schmeichelhaft
schmeichelhaft	flattering
to reckon with	mit etwas rechnen
mit etwas rechnen	to reckon with
to reckon	etwas meinen
etwas meinen	to reckon
ferocious	wild
wild	ferocious
sluice / floodgate	Schleuse
Schleuse	sluice / floodgate
on the behalf of	im Namen
im Namen	on the behalf of
habitual	gewohnheitsmäßig
gewohnheitsmäßig	habitual
Bube (Kartenspiel)	Jack
Jack	Bube (Kartenspiel)
reckless	rücksichtslos
rücksichtslos	reckless
admittance	Zulassung
Zulassung	admittance
basil	Basilikum
Basilikum	basil
potluck	Buffet (jeder bringt was mit und alle teilen)
Buffet (jeder bringt was mit und alle teilen)	potluck
scarcely	kaum
kaum	scarcely
extinguisher	Feuerlöscher
Feuerlöscher	extinguisher
deduction	Abzug
Abzug	deduction
Perforator	Locher
Locher	Perforator
prospect	Aussicht
Aussicht	prospect
relentless	unerbitterlich
unerbitterlich	relentless
scintillating	funkelnd
funkelnd	scintillating
concise	prägnant
prägnant	concise
baby stroller	Kinderwagen
Kinderwagen	baby stroller
Hagebutte	rose hip
rose hip	Hagebutte
Hocker	stool
stool	Hocker
zielstrebig	purpuseful
purpuseful	zielstrebig
gähnen	yawning
yawning	gähnen
dosieren	to dose
to dose	dosieren
der Popel	booger
booger	der Popel
verwöhnt	spoiled
spoiled	verwöhnt
deliberately	absichtlich
absichtlich	deliberately
attire	Kleidung
Kleidung	attire
demotion	Degradierung
Degradierung	demotion
pacifier	Schnuller
Schnuller	pacifier
impartial	unparteiisch
unparteiisch	impartial
purse	Geldbeutel
Geldbeutel	purse
fortune	Vermögen
Vermögen	fortune
nefarious	schändlich
schändlich	nefarious
to elicit	hervorrufen
hervorrufen	to elicit
to fancy	etwas haben wollen / etwas machen wollen
etwas haben wollen / etwas machen wollen	to fancy
freundschaftlich	amicable
amicable	freundschaftlich
readable	lesbar
lesbar	readable
blass	pale
pale	blass
Bettdecke	duvet
duvet	Bettdecke
Vorteile	perks
perks	Vorteile
explanatory	erläuternd
erläuternd	explanatory
loan	darlehen/leien
darlehen/leien	loan
Heugabel	pitchfork
pitchfork	Heugabel
Frachtbrief	consignment note
consignment note	Frachtbrief
Kleiderhaken	clothes hock
clothes hock	Kleiderhaken
proliferate	vermehren
vermehren	proliferate
sludge	Schlamm
Schlamm	sludge
vorherrschend	prevailing
prevailing	vorherrschend
coaxing	überredend
überredend	coaxing
protruding	hervorstehend
hervorstehend	protruding
sagging	schlaff
schlaff	sagging
incisors	Schneidezähne
Schneidezähne	incisors
congestion	Stau
Stau	congestion
torpid	träge
träge	torpid
fatique	Ermüdung
Ermüdung	fatique
weaned	entwöhnt
entwöhnt	weaned
Hosenstall	fly
fly	Hosenstall
eminent	bedeutend
bedeutend	eminent
proximity	Nähe
Nähe	proximity
thicket	Dickicht
Dickicht	thicket
verleiten	to tempt
to tempt	verleiten
Des Weiteren	Furthermore
Furthermore	Des Weiteren
Außerdem	Besides that
Besides that	Außerdem
Einschätzung	assessment
assessment	Einschätzung
consignment	Fracht
Fracht	consignment
Dennoch	Nonetheless
Nonetheless	Dennoch
verpfichtet sein	be obliged
be obliged	verpfichtet sein
atrocious	scheußlich
scheußlich	atrocious
profusely	reichlich
reichlich	profusely
